[로그 시작] 클라이언트 2 로그 파일
[파일 선택] c:\Github\G1HW3\G1HW3/Expression2.txt
[1번 수식 전송]: 6*5*7+1/5*1*8-10/1*1+5/8-9+5-1/10-8/8+3+6+3-3-5/8+5/8+4+5*4+1-10*6/6*5/3-7*6/6-6+7+3*6
[2번 수식 전송]: 6*9+7-4*8/7-4+1*4*9*4+9*1*8-3/7/5/2-1-8-4*10+5+6/3+10+6/10-1-9/1/8/10-4+9/1/4*5+1+10+1/1/2*2*6
[3번 수식 전송]: 5*3-3/5*9-2+4/5/9/1-5-5/1+1+3/4+9/1*6/8-7*8+10-2/10-10/6/6+1+6-5*1
[4번 수식 전송]: 10-10/4-8+1+7-2+9-3/8-8*5+3-3/5-6+3*1-2*4-9+8+1+7
[5번 수식 전송]: 1/6-6*4/6/9*5*3/6*10*2/4
[6번 수식 전송]: 5-6-7/8+8+6/7-8/2+10-2+9-4-4-9*8+8/2-5/5/10-10-4*1*1
[7번 수식 전송]: 4/3/1*5/3/4+6-1*2/1*9+2+5+5
[8번 수식 전송]: 3/4*4*5/8/1+2*7+3*3*1+2*2/7+5*7-7*2-5/8-6-3*1/1*3-1/5*5+10/6*5-1
[9번 수식 전송]: 7/10-8/10-4/9+4*2/10/6-2+5+2/10*5/10*3+2*9-2*2/10*9-4/5+3-1+4*2
[10번 수식 전송]: 5*9/5+4/7-3*8-7/1-8*9*1+5/5-6*8-2+5/2*5*3+10-6*2*1*9*2/2/10*1/8/6
[11번 수식 전송]: 9-8*7-8*8-9-6+10+6*5*3/8/5-4+3/1-5*4/8*10/5/3-4*5+7-9-2-5*8*7*8*10*7-5+5+5/9+6
[1번 결과 수신]: 260.1232142857143
[12번 수식 전송]: 3/7-5-3-9-3+10+6*10+7*2+2+6/1*7/8/1/1/9*4*6/1-1/4/9*3-7*6*5-7/5/2-3*6-3/3*3+5*4-6*3/8*5/4/10
[2번 결과 수신]: 226.45833333333334
[13번 수식 전송]: 5+5-7-3+2*8*10*4*8+10*9*10-5/5-8-9-10/6
[3번 결과 수신]: -38.28888888888889
[4번 결과 수신]: -27.475
[14번 수식 전송]: 10+1/4*2+8*9*3/10+8+2-9/10-7/7/2/3
[5번 결과 수신]: -5.388888888888888
[15번 수식 전송]: 6+5+7+9-10/5+4/5-3+3-8+6+10*4-9*4/3+4+2*5+10+1*7+7+1/10+8-10-8+9/3/9
[6번 결과 수신]: -70.11785714285713
[16번 수식 전송]: 9*7+6/10-5+5*10*5/10*3/1/2*10
[7번 결과 수신]: 0.5555555555555554
[17번 수식 전송]: 5*3/5-7*2*9-9-1*8/8+6-10*5/3+9*2-4+7/9-3-3*3+9*1/9-7*4-7+3*7*7*10/7*10+9*8/3*8/3*7*1+6-1/5-2-4+4/5
[8번 결과 수신]: 37.154761904761905
[18번 수식 전송]: 10/4/9/1+9+7*4*2/7/7+3/5+8/8/6+4+8+2+6/10*6*9+7/8/5/4*3*7*4-1+6-8-4*8+4*2/8
[9번 결과 수신]: 26.488888888888887
[19번 수식 전송]: 9-9/10*5-5-10-2+10*2-10
[20번 수식 전송]: 3*4+6-9-2-2*9/7-3/9+6-10+5*4+8*8*8+1+9-3+4*8+7/1+3+7+1/6-7/4
[10번 결과 수신]: -95.15357142857144
[21번 수식 전송]: 10/10-5+3-6*4-1*3*9*8*2-2/3-2/5-8/6*7*8/1+10/4/3*10/8*3/7
[11번 결과 수신]: -156933.8611111111
[22번 수식 전송]: 6-9/10+8+5+6*8*6+10-10-7-9*1/1*6*4*5*8/3*2/4*9-3-7/5-3-3-7/4-5/9-7-9-8*8-3+3-5*2*9/5+4
[12번 결과 수신]: -131.6360119047619
[23번 수식 전송]: 8-6*1/3*7-10+4*1-8/10*6
[13번 결과 수신]: 6000.333333333333
[24번 수식 전송]: 9+1*3*4*5-6-10/5/7*9-2/8*6+9+4/9-6-7-4
[14번 결과 수신]: 41.03333333333334
[25번 수식 전송]: 3-6+5+4*8/1*7+10-2*1+9*7-1/3-4*2
[15번 결과 수신]: 80.23333333333332
[26번 수식 전송]: 7*8*1+7+6-6*6+1+3-7*8-9-1+1-1/7-8*7/3/7+5+10-10-1/6/10/4-10+1-8+4+8/10-1/7/3/10-6
[16번 결과 수신]: 433.6
[27번 수식 전송]: 1+5+9*2-8+6/7/8*9+1+9*7-7-3*3+5*5+7-1/5*10/10-10+4*1/5/9/5+4+4/1
[17번 결과 수신]: 2373.7111111111117
[28번 수식 전송]: 8-8-10-8-10-6+10-9*9*6*3+1/6-4/1-5-3+4+2/4-10-10+1
[18번 결과 수신]: 27.26230158730158
[29번 수식 전송]: 3*7+7+8*7*7*6+3*1/5-6/1/3*8*3-7
[19번 결과 수신]: -2.5
[30번 수식 전송]: 5+7/5/4/1-7/1*3-5-6/7+10*10-2/5-7/7-6-5-7-10+10+2-5*5-6+8/4/9-8+6*2/3-1*2+8*2*4*6-2*10/5+6-7-7-2
[20번 결과 수신]: 586.5119047619047
[31번 수식 전송]: 9+8+3+6*2+4+6+1-4+10+1+2+10-5-9*10*3+9/8
[21번 결과 수신]: -532.2869047619048
[32번 수식 전송]: 2+8-8/4-7*4-10*4+2*4-1*1+9-4/2-10/5-5-9*1*3*1*1-2*3-9*9-10/3-3+10
[22번 결과 수신]: -12767.605555555554
[33번 수식 전송]: 9-9+5-1-5*6-5+8/10/7+9-10+6*7+6*6/8*8+8+10+3/7/1+1*7*10
[23번 결과 수신]: -16.8
[24번 결과 수신]: 51.37301587301587
[34번 수식 전송]: 2+4-4-3/8-10-3-7+4+7-2-7*3/6+1-7+6/6*1-5/8-5/5
[35번 수식 전송]: 1+4+8*3+3/7+6/3-5+3*3-9-9/10*5+10-8*9*1/2-2*6/1-2-5*4/10-1*5+2*1/9*5*6+10+6/9/6+5
[25번 결과 수신]: 288.6666666666667
[26번 결과 수신]: -44.01845238095238
[36번 수식 전송]: 10*8+2*9-6*7+4+6*3/6+9+9*6+4+7*4+7+3*9+10*3/5+5+8+10/5*5+8+3/3/9-4-8/5-9/3/5/10+5/2-3*7+8+3/10/7+4+5+7+3
[27번 결과 수신]: 94.7820634920635
[37번 수식 전송]: 1-7+8*4/5-1*4+10*2*5*4+3/6-9-1*1-3/8/3
[28번 결과 수신]: -1508.3333333333333
[38번 수식 전송]: 10-3/5*4-1-3/2-2+6-10/3+6/3*2*7*1*4+2+3/7+1+7-10*5-4+9-4*1-3*10+2-2+2-4/5*4*3-1*3+6*6-5+2-9-6*8
[29번 결과 수신]: 2325.6
[39번 수식 전송]: 6/4+3-7+8/4/1+3+8+9+2+10/9+1+9-1-3-9-5*4+2+6+4-4*4-4+2-4*10-7+8-5*5/1*5*7/1-8/8+10-10*7/5-4/4*9-10/7
[30번 결과 수신]: 394.3150793650794
[31번 결과 수신]: -211.875
[40번 수식 전송]: 1*3*3/1/10+2-1*6-7-6-2*5+1*1*5/9+8+4/5-6-8/1-1/4*2-3-8/2-6*7+3-7+7/7+9+3-8+3-10+3-6+4*1-10/3/6-4
[32번 결과 수신]: -163.33333333333334
[41번 수식 전송]: 5+10-1*8+7-8+9-7*9+3*8-7+4*4-1-5/4*2+8+2+2-7*5/6+8-3*10*3*10/7*5*3+7/6-5+9/5/4-4/10+2/5+4/3
[33번 결과 수신]: 134.54285714285714
[42번 수식 전송]: 10-8-4*4+9*2+2/1*7/1*4*5*4-9/1-9+2*10-5/2*4-7/6*8*10-6-7-6-5/8-10+3-9+1/3-7+5*5-8-6-8+5*3
[34번 결과 수신]: -19.5
[43번 수식 전송]: 8+5*10*1/8*4-10*8-5+1/4+9-3+5/3*10/8+7+7+9*10+1/9/10*6+4/3*5-10/7/7*6+2+9*7-8/10-10+7-7*6-8*8-8/8-2*5*7+5
[35번 결과 수신]: -3.293650793650791
[44번 수식 전송]: 8/8+2-5+6+1-10/1+2-10+10/8*4/6/2*9/6/5/7+1/9+1/2*3+9*4-1*10-4*7+9*1/7*7-10*1*4*8+7-4-10/9-4/4*5/2+9
[36번 결과 수신]: 231.99396825396826
[45번 수식 전송]: 2-4*10+5*5+9+3/5+5*7-9+3-4-8*4+4-7-1+8*7/10*5/5+4/6+10-10-8/3/6-7*3/9*5/5/6+9+5*3-8/9/7/3-7*3*4-7
[37번 결과 수신]: 386.775
[46번 수식 전송]: 3*4*9-2+5*3-1*6+10+8+6*2-4*10+9
[38번 결과 수신]: 14.595238095238102
[47번 수식 전송]: 2-3-5/3+5-9+4/8/6+2/4-3/8+3+8-5+3/9-2+2*9/10+8-1
[39번 결과 수신]: -935.8174603174604
[48번 수식 전송]: 8+9*2*7-1-6-5-2*6*5-2/7/10/1-3*1-4+8/7+8*9/6*1-8-7-10-5+3/4*10+2
[40번 결과 수신]: -89.8
[49번 수식 전송]: 4-10/2/1/5*10/3/3/4+8
[41번 결과 수신]: -1934.9547619047619
[50번 수식 전송]: 9/7+5+4*9/2*3+2/6/10*9+10*10*6-1/8-4+4+3*5/7-1+2-1+2/5-3+4-10*10/1-10*8/3+5/6/5-2-7-8*4
[42번 결과 수신]: 998.375
[51번 수식 전송]: 3+8/6-2/1-10/8*6*9*7-4
[43번 결과 수신]: -44.95782312925172
[52번 수식 전송]: 10+5+9-8*10*9*10+6-5/10*2*9/1-7*6+4-6*5-2*2+7-3*10-3-6*5-2/2+10*10*3
[44번 결과 수신]: -315.98214285714283
[53번 수식 전송]: 1+8+5/3+2-1*1*1/5+8/3*1+4+7-7+2+7+8+4*3+2/8
[45번 결과 수신]: -76.0089947089947
[54번 수식 전송]: 2+8+5-6/1*8*9*3*1/8/5-7/1+2*6+9*3-10/5+6/8+8*5-7+3*6-2+2*9*10/2-8+1+3*5/6-3/10/9/1*1+10/7+4/8
[46번 결과 수신]: 114
[55번 수식 전송]: 9-10-3-5*3*4*4*4*3*1-1/3-5-3-9/9-5/8*10/3-7-1+5+1
[47번 결과 수신]: 6.675
[56번 수식 전송]: 4*4/6-10+3+2-1+3/4-5+9+2/4-6/6-3/9*1/1/4*10+4*8+3*8/8+2
[48번 결과 수신]: 47.614285714285714
[49번 결과 수신]: 11.722222222222221
[57번 수식 전송]: 6/3*1-1+7-1+2+1+9*7/10-8/5*4/6+10-2+10+6-5/4*3+3/4+3+9+6/5-8/9+8+7+10-2+7+3/10-1
[58번 수식 전송]: 8/7+8/1/6-5-3*1*2+8*5+10+7/5*10*5*10+10/1/3-3+2
[59번 수식 전송]: 1+10/7/1-1*3/4+3-2-9-4-5+1*1-6*10
[50번 결과 수신]: 496.5035714285714
[60번 수식 전송]: 5-10+9*9/5/8/4+6/7*10/2+10-9/3-9/2/7*4+6*9-4+1-9+8-1+8/2-9
[51번 결과 수신]: -474.1666666666667
[61번 수식 전송]: 1/8-2+2/2/2/9*5/8/6+8*10*6+1*5+9+1-3-9+3-8-10+9*4-8/2+4/10*9*9-4-10/9-7+3/2-10*5*3
[52번 결과 수신]: -7008.0
[62번 수식 전송]: 7*6-9*9*8+5*10-3-1/3*3-6-6/8+7*3
[53번 결과 수신]: 48.38333333333333
[63번 수식 전송]: 3-2*10/1-2*1*2+7-7-1-1+2-5*10/8-4/4-8+3-6+3-4*10+3*2+2-5+7+2/1
[54번 결과 수신]: 149.74523809523808
[64번 수식 전송]: 9/10+8/6-5+1/10+9/1/9+5*1*10*8+5/1*10+8*5*4-3+8-8-3-1-3*1+9-1/10-9-3*5*6-2-3*8-7-9+2
[55번 결과 수신]: -2897.416666666667
[56번 결과 수신]: 37.083333333333336
[57번 결과 수신]: 77.84444444444445
[65번 수식 전송]: 7-9/5*10*10+5*3-8-10/3-6/5+7-5-7/6+3
[58번 결과 수신]: 743.8095238095239
[66번 수식 전송]: 2/1*8/3+4*8/1*10+10*2-7-5+2*7+3*7+4-7+2*1/8-9-7+4-4-8-6*9*2/9/2-1*5+9*9+6/9/2*2+1*2/7-6+4*5*3*3/5
[59번 결과 수신]: -74.32142857142857
[67번 수식 전송]: 3*5*4/3+10-4-7/5-8*5*9/4+1/4/1+4-8-9+9+3+4
[60번 결과 수신]: 48.22053571428572
[68번 수식 전송]: 4+1/9+7/4*9-7-3-5-6+5*9+10*10+3+1+3*2*3+1-10-8/8+3-1+3-10/5
[61번 결과 수신]: 369.91967592592596
[69번 수식 전송]: 9/5+6+7+4-4+8+5*6-7*2*3*5*7/1/8*7+6*2-4/3
[62번 결과 수신]: -545.75
[70번 수식 전송]: 2+5/10*6+3*8*4-1*7*7*4-9*5*10/9-5-9+5*4-6*9/10+5/4
[63번 결과 수신]: -64.25
[71번 수식 전송]: 2*9/2-7-3+3+7+1*9/3/3*4
[64번 결과 수신]: 468.23333333333323
[72번 수식 전송]: 3-2+4-6*2-7/5-10+4/6+2*7+10+5-1
[65번 결과 수신]: -166.7
[66번 결과 수신]: 442.5357142857143
[73번 수식 전송]: 9/1*6+1*2*10*3/7/1/2-10+9/4*8-8-1*1-8
[67번 결과 수신]: -62.150000000000006
[74번 수식 전송]: 4/1+4+3-2*6-4/2/6/1-8/2+1/3*5*9-4/5*5-7-8+6/5*7-6+7+3*2-4+10*6
[68번 결과 수신]: 158.86111111111111
[75번 수식 전송]: 4-2-10-7+5-1/4*5/10*10/2*2*4+1+2*5-8+7-5*9/8
[69번 결과 수신]: -1222.7833333333333
[76번 수식 전송]: 3/4+10*1*3/10/3*5-9*6-1+9*5/2+3-6-2*1-4/9+7+5/3-9/6-5/8
[70번 결과 수신]: -143.15
[77번 수식 전송]: 7/7-5+2+7-6-9*3*9+8-2-1*7*1-9/5+10-2/10*1*9+2/6*9*5-8+4*2-1+6*1-8+10/1*4/5-6+7*3+3*4
[71번 결과 수신]: 13.0
[78번 수식 전송]: 4+7/1/7-4/7+7+3/1/9+7-2-10/9+1*6*3*4-8-2-3+1/2/6+6+4*1/8*1*9-8-10
[72번 결과 수신]: 10.26666666666667
[79번 수식 전송]: 1/5+5-7-6+3/2/6-1+7*7/1*3-1-2+3
[80번 수식 전송]: 9+6+6-5*9/5+6+3+6*10*4*4*10/7+3/7+4*8-9-2-9-3+5*8-4-9-6*4+2+8*10+2/7*10-4-8+4+8*3*2+2*3*3/4+6+9-5+2*8
[81번 수식 전송]: 8/9*6+5/9+7-2*5-4-10-7+6*5+1/8-5-7*4/10+1/10+7*9*10+7-7/3+10+3/7*2*4-7-6/3/7/10/3+7/5+8-10
[82번 수식 전송]: 10-4+6/1/3+3*10+10/9-7*6-1+7*4*1+6-7-8/1
[73번 결과 수신]: 49.28571428571428
[83번 수식 전송]: 7*3*6/4+3+6/8/3/6*2+10+6*1-6/8/2
[84번 수식 전송]: 7/5/1/7-4*9-10+9*1*10/2*5-9+8*8/7+2
[74번 결과 수신]: 62.06666666666666
[85번 수식 전송]: 9/9*5*6-2-6-10*8-5-10+9*9-5
[75번 결과 수신]: -10.625
[86번 수식 전송]: 6-9/1*8-7/10+5-6-7*6-9-2*8+10/9
[76번 결과 수신]: -25.652777777777775
[87번 수식 전송]: 2/1-5+1+2/2*10/1-7*2/9*1+4/3/6*5-1*5/8-1/10-2+1/3-3+7*8*2/2-1
[77번 결과 수신]: -191.60000000000002
[88번 수식 전송]: 6+3-6+7/5*9*10/9*2*3-10
[78번 결과 수신]: 67.23412698412697
[89번 수식 전송]: 2-10/4/4/3+3*1/9-2/2/10+6/10/7-8*6+5/1*2*9/9*10*3-10*6-8-2+6+9-8-9-1-1+4+10-1-3*10*10*10-6
[79번 결과 수신]: 138.45
[90번 수식 전송]: 5/8+2*9+10+7+6/6-6/8*1/8/10*7-9+8*5-2-1-1/3/2-4*5/9+7/7-3-1/7+2/8-6
[80번 결과 수신]: 1560.2142857142856
[91번 수식 전송]: 5/4+7*1-2/10+4/8+5*7/5-5*7*5+1-7+1*10+10-3*3+1+1/4+5+8/7*5*8/5/7*2-5*4*3/2/10-10-3*2/10
[81번 결과 수신]: 644.7996031746031
[92번 수식 전송]: 8/7*2+9+5*2/10+2*7/3-5*8
[82번 결과 수신]: 15.111111111111114
[93번 수식 전송]: 5*6+10/8-9/7*6-3*3/3*10*8*2/6/2-4/3+8+8+9*4/7+8/7-4/9-8/10+4/10/5-2*7+8*8/1/5+7/9-5+7-4-4*7
[83번 결과 수신]: 50.208333333333336
[94번 수식 전송]: 8*8/6*7/2+5*5*1*10/9/10*6*6-4+1/10-6*1-8-9+8+3*1-2-9*8-5/6-1-9+6-1+3-1/10+10+2/5
[84번 결과 수신]: 181.34285714285713
[95번 수식 전송]: 2*3*1+1/6/4*1+4/1*8+7+9-7/5+6/4-5+5+1/2-9+2+7+10-7/8+9*7/4-1-3*1-1*3+8-6
[85번 결과 수신]: 3.0
[96번 수식 전송]: 6+2-5+6+8/2+8*4+10*2/3/7-8*8+3/8+2+3/1*8*2+3-9/7*4-4+5/6/10-7*4/7+3
[86번 결과 수신]: -133.58888888888887
[97번 수식 전송]: 10-8*4/1*2+4+10*7+6/6*8+10*6-1/8-10/1-6/10*8*1+10-6-2-8*3/1*4*2/7/6*2+3/3-10*8-4*1*2/7+5*2*1
[87번 결과 수신]: 57.16388888888889
[98번 수식 전송]: 7/2/7/2*7-1+2-6-10+3+9-7-8*3+1/4/1/7-4-9+9+6/4+10+3/2/2-7/5/2/3/10*9+6*9-3*8+9*4+7+7-7-7*9+3-7*7*2+4
[88번 결과 수신]: 77.0
[99번 수식 전송]: 4-7/6*7+9/1/6-10-4*8/1/8*1/2*1+1*10-3/7*10+1+10+3+5+9*10+5/9*4-5-1
[89번 결과 수신]: -2812.8892857142855
[100번 수식 전송]: 7+10/6/6/5*1-8*4*4/10-10+7+3-9/2*9*9/3-4-9/3+10-6/3-1+5/10+6*4+4-3-8
[90번 결과 수신]: 54.277628968253964
[101번 수식 전송]: 7/2+7*8/1*5*4+10/3/1+5+10/5*6*6+2*10+1/8*1*2*3+9/8/1
[91번 결과 수신]: -159.1877551020408
[102번 수식 전송]: 3-10/3+5-7+4*10*10+1+6+1-10*2*5+1/10/3/8-7/7+2/8+9*1/8+5-9/4/7*2
[92번 결과 수신]: -23.047619047619047
[103번 수식 전송]: 7*1+6*10-5+4*5-2-9*6-1+1/4/8-8/6+8/9+3/5+8/9-10/5*6*7-3*1+8-4/6-6/9+2-9-5+1*9-1-3/9+5-9/4-5*10*7
[93번 결과 수신]: -27.098571428571425
[104번 수식 전송]: 10-4*3+2*2-3+10/4/9/5-8+5*5-2/6-6+9*3
[94번 결과 수신]: 54.89999999999997
[105번 수식 전송]: 9+9/7+6-8/7/9+4+6/3-7-1/7-2-9-10/2-8*5*2*7/7*5/8-9-1/5/6-5/7/6*3-4+8-1*3*10+2/8+8/8/3*6/5*6/9-4-7*7*9
[95번 결과 수신]: 74.51666666666667
[106번 수식 전송]: 6/4/6+10/2+3*8*2+9*8-8-4/10/1-2*1+9*2-3/2/5*5-3*1
[96번 결과 수신]: 25.26785714285714
[107번 수식 전송]: 1/5*7*5*4-2+1+6*1+9+1*7/7-6-7/4-5+3/4+8/10/1+6*9-10/5+9-8*7/6*8+6/9-3*10+7+3-10/3/9/9-2/1-5*9*10/7/10-3
[97번 결과 수신]: -4.210714285714278
[108번 수식 전송]: 2*2*1*5+6+5+2/8/7-6+7+8+9-2/9-6-3/6/3+8+8
[98번 결과 수신]: -105.17428571428572
[109번 수식 전송]: 1-6*7*7-1-5-3-3/1/3/7*1+5/9-10-1*6+3/9+8/7-6-8+2-7*2+1/10*8+1*8+9/7*2-9/9-5+6/8-10+7/3-8+5-7
[99번 결과 수신]: 96.26984126984128
[110번 수식 전송]: 5+8+4/1/7+7-10*4*5*8-2*10+1+9/8*3*8-9/6
[100번 결과 수신]: -109.74444444444444
[111번 수식 전송]: 4-4+4+5+2+2-10-10+1*9/5+5-9*5*1-7*5*2*5+7*7/2-9-1/4-10/9+7/7
[101번 결과 수신]: 1225.7083333333333
[112번 수식 전송]: 3*3-1*9-8*3*9*5+5/2+4+4+6*4/2/10/8+9*10*9
[102번 결과 수신]: 310.4029761904762
[103번 결과 수신]: -405.8409722222222
[113번 수식 전송]: 5+5*2-3+10/3+4*1+4-5+4+4-7+9*6-4+6+5*6+6/8-8-1*8+6/8-7-4/2-3-2-10
[104번 결과 수신]: 36.72222222222222
[114번 수식 전송]: 5+1+5-8+9-7*3+9*2-4*7/6*6+6-4/10-6
[105번 결과 수신]: -530.8579365079365
[115번 수식 전송]: 7+1-4+2/2-4+1-4*8+4+3-5*6-4
[106번 결과 수신]: 128.35
[116번 수식 전송]: 8+3/1/5+9+9*8*1-6-9-10/6*4-2/2+5-7
[107번 결과 수신]: -12.66972369194592
[117번 수식 전송]: 6/10+7/4-1*3*8+1/2-7-5+10+1/10-3+7-5/1*10-8
[108번 결과 수신]: 58.6468253968254
[118번 수식 전송]: 10-5-1/8/7*10*7*3-5/6+6+10+2-8*1+3*7-8-10*3*1+5+6+5/1*7*10-9+5-5*7-8/9*8/5+9/8-8/6*6-9-7/4
[109번 결과 수신]: -353.65634920634926
